step,charge_carbon_in,discharge_carbon_out,storage_carbon_mass,storage_energy
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
0,20.99999964237213,0.0,26.669999660253517,38.099999999999994
1,20.99999964237213,0.0,46.61999932050704,66.6
2,20.99999964237213,0.0,66.56999898076056,95.09999999999998
3,18.34736810859883,0.0,83.99999868392945,120.0
4,0.0,0.0,83.99999868392945,120.0
5,0.0,0.0,83.99999868392945,120.0
6,0.0,0.0,83.99999868392945,120.0
7,0.0,0.0,83.99999868392945,120.0
8,0.0,20.999999670982362,61.894735872369054,88.42105263157893
9,0.0,20.999999670982362,39.789473060808675,56.84210526315788
10,0.0,20.999999670982355,17.6842102492483,25.263157894736832
11,0.0,16.79999973678588,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0
